line_no,labels,strata,strata_based_on_meter_only
07.021.03.c,M,S,False
07.021.03.d,M,S,False
07.021.04.a,M,S,False
07.021.04.b,M,S,False
07.021.04.c,M,S,False
07.021.04.d,M,S,False
07.021.05.a,M,S,False
07.021.05.b,M,S,False
07.021.05.c,M,S,False
07.021.05.d,M,S,False
07.021.06.a,M,S,False
07.021.06.b,M,S,False
07.021.06.c,M,S,False
07.021.06.d,M,S,False
07.021.07.a,M,S,False
07.021.07.b,M,S,False
07.021.07.c,M,S,False
07.021.07.d,M,S,False
07.021.08.a,M,S,False
07.021.08.b,M,S,False
07.021.08.c,M,S,False
07.021.08.d,M,S,False
07.021.09.a,M,S,False
07.021.09.b,M,S,False
07.021.09.c,M,S,False
07.021.09.d,M,S,False
07.021.10.a,MR,S,False
07.021.10.b,MR,S,False
07.021.10.c,MR,S,False
07.021.10.d,MR,S,False
07.022.01.a,M,S,False
07.022.01.b,M,S,False
07.022.01.c,M,S,False
07.022.02.a,M,S,False
07.022.02.b,M,S,False
07.022.02.c,M,S,False
07.022.03.a,M,S,False
07.022.03.b,M,S,False
07.022.03.c,M,S,False
07.022.04.a,M,S,False
07.022.04.b,M,S,False
07.022.04.c,M,S,False
07.022.05.a,M,S,False
07.022.05.b,M,S,False
07.022.05.c,M,S,False
07.022.06.a,M,S,False
07.022.06.b,M,S,False
07.022.06.c,M,S,False
07.022.07.a,M,S,False
07.022.07.b,M,S,False
07.022.07.c,M,S,False
07.022.08.a,M,S,False
07.022.08.b,M,S,False
07.022.08.c,M,S,False
07.022.09.a,M,S,False
07.022.09.b,M,S,False
07.022.09.c,M,S,False
07.022.09.d,MR,S,False
07.023.01.a,M,S,False
07.023.01.b,M,S,False
07.023.01.c,M,S,False
07.023.01.d,M,S,False
07.023.02.a,M,S,False
07.023.02.b,M,S,False
07.023.02.c,M,S,False
07.023.02.d,M,S,False
07.023.03.a,M,S,False
07.023.03.b,M,S,False
07.023.03.c,M,S,False
07.023.03.d,M,S,False
07.023.04.a,M,S,False
07.023.04.b,M,S,False
07.023.04.c,M,S,False
07.023.04.d,M,S,False
07.023.05.a,M,S,False
07.023.05.b,M,S,False
07.023.05.c,M,S,False
07.023.05.d,MR,S,False
07.023.06.a,M,S,False
07.023.06.b,M,S,False
07.023.06.c,MR,S,False
07.023.06.d,MR,S,False
07.024.01.a,M,S,False
07.024.01.b,M,S,False
07.024.01.c,M,S,False
07.024.01.d,M,S,False
07.024.02.a,M,S,False
07.024.02.b,MR,S,False
07.024.02.c,M,S,False
07.024.02.d,M,S,False
07.024.03.a,M,S,False
07.024.03.b,M,S,False
07.024.03.c,M,S,False
07.024.03.d,M,S,False
07.024.04.a,M,S,False
07.024.04.b,M,S,False
07.024.04.c,M,S,False
07.024.04.d,M,S,False
07.024.05.a,M,S,False
07.024.05.b,M,S,False
07.024.05.c,M,S,False
07.024.05.d,M,S,False
07.024.06.a,M,S,False
07.024.06.b,M,S,False
07.024.06.c,M,S,False
07.024.06.d,MR,S,False
07.025.01.a,M,S,False
07.025.01.b,M,S,False
07.025.01.c,M,S,False
07.025.01.d,M,S,False
07.025.02.a,M,S,False
07.025.02.b,M,S,False
07.025.02.c,M,S,False
07.025.02.d,M,S,False
07.025.03.a,M,S,False
07.025.03.b,M,S,False
07.025.03.c,MR,S,False
07.025.03.d,M,S,False
07.025.04.a,M,S,False
07.025.04.b,M,S,False
07.025.04.c,M,S,False
07.025.04.d,M,S,False
07.025.05.a,M,S,False
07.025.05.b,M,S,False
07.025.05.c,M,S,False
07.025.05.d,M,S,False
07.025.06.a,MR,S,False
07.025.06.b,MR,S,False
07.025.06.c,MR,S,False
07.025.06.d,MR,S,False
07.026.01.a,M,S,False
07.026.01.b,M,S,False
07.026.01.c,M,S,False
07.026.01.d,M,S,False
07.026.02.a,M,S,False
07.026.02.b,M,S,False
07.026.02.c,M,S,False
07.026.02.d,M,S,False
07.026.03.a,M,S,False
07.026.03.b,M,S,False
07.026.03.c,M,S,False
07.026.03.d,M,S,False
07.026.04.a,M,S,False
07.026.04.b,M,S,False
07.026.04.c,M,S,False
07.026.04.d,M,S,False
07.026.05.a,M,S,False
07.026.05.b,M,S,False
07.026.05.c,M,S,False
07.026.05.d,MR,S,False
07.027.01.a,M,S,False
07.027.01.b,M,S,False
07.027.01.c,M,S,False
07.027.01.d,M,S,False
07.027.02.a,M,S,False
07.027.02.b,M,S,False
07.027.02.c,M,S,False
07.027.02.d,M,S,False
07.027.03.a,M,S,False
07.027.03.b,M,S,False
07.027.03.c,M,S,False
07.027.03.d,M,S,False
07.027.04.a,M,S,False
07.027.04.b,M,S,False
07.027.04.c,M,S,False
07.027.04.d,M,S,False
07.027.05.a,M,S,False
07.027.05.b,M,S,False
07.027.05.c,M,S,False
07.027.05.d,MR,S,False
07.028.01.a,M,S,False
07.028.01.b,M,S,False
07.028.01.c,M,S,False
07.028.01.d,M,S,False
07.028.02.a,M,S,False
07.028.02.b,M,S,False
07.028.02.c,M,S,False
07.028.02.d,M,S,False
07.028.03.a,M,S,False
07.028.03.b,M,S,False
07.028.03.c,M,S,False
07.028.03.d,M,S,False
07.028.04.a,M,S,False
07.028.04.b,M,S,False
07.028.04.c,M,S,False
07.028.04.d,M,S,False
07.028.05.a,M,S,False
07.028.05.b,M,S,False
07.028.05.c,M,S,False
07.028.05.d,MR,S,False
07.029.01.a,M,S,False
07.029.01.b,M,S,False
07.029.01.c,MR,S,False
07.029.01.d,M,S,False
07.029.02.a,M,S,False
07.029.02.b,M,S,False
07.029.02.c,M,S,False
07.029.02.d,MR,S,False
07.029.03.a,M,S,False
07.029.03.b,M,S,False
07.029.03.c,M,S,False
07.029.03.d,M,S,False
07.029.04.a,M,S,False
07.029.04.b,M,S,False
07.029.04.c,M,S,False
07.029.04.d,M,S,False
07.029.05.a,MR,S,False
07.029.05.b,MR,S,False
07.029.05.c,MR,S,False
07.029.05.d,MR,S,False
07.030.01.a,M,S,False
07.030.01.b,M,S,False
07.030.01.c,M,S,False
07.030.01.d,M,S,False
07.030.02.a,M,S,False
07.030.02.b,M,S,False
07.030.02.c,M,S,False
07.030.02.d,M,S,False
07.030.03.a,M,S,False
07.030.03.b,M,S,False
07.030.03.c,M,S,False
07.030.03.d,M,S,False
07.030.04.a,M,S,False
07.030.04.b,M,S,False
07.030.04.c,M,S,False
07.030.04.d,M,S,False
07.030.05.a,MR,S,False
07.030.05.b,MR,S,False
07.030.05.c,MR,S,False
07.030.05.d,MR,S,False
07.031.01.a,MO,S,False
07.031.01.b,MO,S,False
07.031.01.c,MO,S,False
07.031.02.a,MO,S,False
07.031.02.b,MO,S,False
07.031.02.c,MO,S,False
07.031.03.a,MO,S,False
07.031.03.b,MO,S,False
07.031.03.c,MO,S,False
07.031.04.a,MOR,S,False
07.031.04.b,MO,S,False
07.031.04.c,MO,S,False
07.031.05.a,MO,S,False
07.031.05.b,MO,S,False
07.031.05.c,MO,S,False
07.031.06.a,MO,S,False
07.031.06.b,MO,S,False
07.031.06.c,MO,S,False
07.031.07.a,MO,S,False
07.031.07.b,MO,S,False
07.031.07.c,MO,S,False
07.031.08.a,MO,S,False
07.031.08.b,MO,S,False
07.031.08.c,MO,S,False
07.031.09.a,MO,S,False
07.031.09.b,MO,S,False
07.031.09.c,MO,S,False
07.031.10.a,M,S,False
07.031.10.b,M,S,False
07.031.10.c,M,S,False
07.031.11.a,M,S,False
07.031.11.b,M,S,False
07.031.11.c,M,S,False
07.031.12.a,M,S,False
07.031.12.b,M,S,False
07.031.12.c,M,S,False
07.032.01.a,M,S,False
07.032.01.b,M,S,False
07.032.01.c,M,S,False
07.032.01.d,M,S,False
07.032.02.a,M,S,False
07.032.02.b,M,S,False
07.032.02.c,M,S,False
07.032.02.d,M,S,False
07.032.03.a,M,S,False
07.032.03.b,M,S,False
07.032.04.a,M,S,False
07.032.04.b,MR,S,False
07.032.04.c,M,S,False
07.032.04.d,M,S,False
07.032.05.a,M,S,False
07.032.05.b,M,S,False
07.032.05.c,M,S,False
07.032.05.d,M,S,False
07.032.06.a,M,S,False
07.032.06.b,M,S,False
07.032.06.c,M,S,False
07.032.06.d,M,S,False
07.032.07.a,M,S,False
07.032.07.b,M,S,False
07.032.07.c,M,S,False
07.032.07.d,M,S,False
07.032.08.a,M,S,False
07.032.08.b,M,S,False
07.032.08.c,M,S,False
07.032.08.d,M,S,False
07.032.09.a,M,S,False
07.032.09.b,M,S,False
07.032.09.c,M,S,False
07.032.09.d,M,S,False
07.032.10.a,M,S,False
07.032.10.b,M,S,False
07.032.10.c,M,S,False
07.032.10.d,M,S,False
07.032.11.a,M,S,False
07.032.11.b,M,S,False
07.032.11.c,M,S,False
07.032.11.d,M,S,False
07.032.12.a,M,S,False
07.032.12.b,M,S,False
07.032.12.c,M,S,False
07.032.12.d,M,S,False
07.032.13.a,M,S,False
07.032.13.b,M,S,False
07.032.13.c,M,S,False
07.032.13.d,M,S,False
07.032.14.a,M,S,False
07.032.14.b,M,S,False
07.032.14.c,M,S,False
07.032.14.d,M,S,False
07.032.15.a,M,S,False
07.032.15.b,M,S,False
07.032.15.c,M,S,False
07.032.15.d,M,S,False
07.032.16.a,M,S,False
07.032.16.b,M,S,False
07.032.16.c,M,S,False
07.032.16.d,M,S,False
07.032.17.a,M,S,False
